City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-9.38,77,100,0.0,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,76.8,64,80,9.08,broken clouds
2,Huarmey,PE,-10.0681,-78.1522,78.91,76,100,3.02,overcast clouds
3,Saint George,US,37.1041,-113.5841,42.26,52,0,0.0,clear sky
4,Arman,RU,59.7,150.1667,-1.28,99,72,5.53,broken clouds
5,Bronnoysund,NO,65.4625,12.1997,41.0,70,100,16.11,overcast clouds
6,Hasaki,JP,35.7333,140.8333,63.21,91,100,34.25,light rain
7,Butaritari,KI,3.0707,172.7902,81.23,81,100,17.18,light rain
8,Marzuq,YE,14.4,46.4667,78.28,44,94,12.66,overcast clouds
9,Albany,US,42.6001,-73.9662,47.05,53,79,1.01,broken clouds
10,Castro,BR,-24.7911,-50.0119,66.29,87,100,4.97,overcast clouds
11,Gubkinskiy,RU,64.434,76.5026,17.55,94,100,22.64,light snow
12,Tucumcari,US,35.1717,-103.725,40.95,48,0,3.44,clear sky
13,Odweyne,SO,9.4092,45.064,84.83,35,100,2.77,overcast clouds
14,Hobart,AU,-42.8794,147.3294,57.06,95,75,3.44,broken clouds
15,Pimenta Bueno,BR,-11.6725,-61.1936,73.85,91,100,2.04,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,49,40,8.05,light rain
17,Akyab,MM,20.15,92.9,84.27,54,0,17.87,clear sky
18,Nizhnyaya Omka,RU,55.4338,74.9426,20.34,63,6,14.45,clear sky
19,Lompoc,US,34.6391,-120.4579,48.92,82,75,11.01,broken clouds
20,Dryden,CA,49.7833,-92.7503,17.89,93,20,3.44,few clouds
21,Rimavska Sobota,SK,48.3828,20.0224,37.96,98,100,2.39,overcast clouds
22,Kahului,US,20.8947,-156.47,73.85,88,0,3.44,clear sky
23,Te Anau,NZ,-45.4167,167.7167,39.33,93,7,1.25,clear sky
24,Egvekinot,RU,66.3167,-179.1667,-18.56,88,19,7.27,few clouds
25,Halkirk,CA,52.2834,-112.1518,24.37,89,14,14.58,few clouds
26,Solnechnyy,RU,50.7214,136.6319,27.72,90,100,5.99,light snow
27,Sitka,US,57.0531,-135.33,39.09,87,100,8.05,mist
28,Chokurdakh,RU,70.6333,147.9167,-21.6,100,64,2.91,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,100,5.99,light rain
30,New Norfolk,AU,-42.7826,147.0587,56.71,89,97,1.01,overcast clouds
31,Tasiilaq,GL,65.6145,-37.6368,19.56,90,100,9.78,snow
32,Cape Town,ZA,-33.9258,18.4232,64.09,85,100,14.97,light rain
33,Bredasdorp,ZA,-34.5322,20.0403,60.57,81,100,11.72,light rain
34,Chuy,UY,-33.6971,-53.4616,72.64,51,100,4.68,overcast clouds
35,Telde,ES,27.9924,-15.4192,70.02,56,20,24.16,few clouds
36,Busselton,AU,-33.65,115.3333,63.7,64,96,15.61,overcast clouds
37,Maues,BR,-3.3836,-57.7186,81.05,85,87,1.88,overcast clouds
38,Xining,CN,36.6167,101.7667,39.96,42,100,4.05,overcast clouds
39,Saint-Philippe,RE,-21.3585,55.7679,81.99,85,62,10.58,light rain
40,Necochea,AR,-38.5473,-58.7368,70.56,56,0,9.22,clear sky
41,Margate,GB,51.3813,1.3862,55.87,66,6,1.01,clear sky
42,Nome,US,64.5011,-165.4064,-16.53,83,75,0.0,broken clouds
43,Poum,NC,-20.2333,164.0167,77.38,69,12,8.19,few clouds
44,Chippewa Falls,US,44.9369,-91.3929,32.94,64,40,11.5,scattered clouds
45,Yellowknife,CA,62.456,-114.3525,30.22,94,99,14.16,overcast clouds
46,Jackson,US,42.4165,-122.8345,44.71,92,100,0.0,overcast clouds
47,Bengkulu,ID,-3.8004,102.2655,78.08,82,96,3.24,overcast clouds
48,Maputo,MZ,-25.9653,32.5892,83.88,69,0,11.5,clear sky
49,Talnakh,RU,69.4865,88.3972,-18.8,98,100,7.0,overcast clouds
50,Bluff,NZ,-46.6,168.3333,46.51,86,28,8.95,scattered clouds
51,Khatanga,RU,71.9667,102.5,-13.2,98,100,11.65,light snow
52,Cidreira,BR,-30.1811,-50.2056,69.28,76,100,10.51,overcast clouds
53,Rosarito,MX,32.3333,-117.0333,52.75,61,100,5.7,overcast clouds
54,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,4.61,light snow
55,Shimoda,JP,34.6667,138.95,64.11,94,100,23.96,overcast clouds
56,La Ligua,CL,-32.4524,-71.2311,73.4,40,48,3.24,scattered clouds
57,Thompson,CA,55.7435,-97.8558,21.36,49,0,3.44,clear sky
58,Derbent,RU,42.0678,48.2899,52.2,71,99,10.69,overcast clouds
59,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,24.16,light intensity shower rain
60,Vurnary,RU,55.4904,46.9648,44.33,48,76,11.56,broken clouds
61,Saint-Augustin,CA,51.226,-58.6502,36.12,65,83,14.47,broken clouds
62,Angoram,PG,-4.0625,144.0661,74.59,98,100,1.83,overcast clouds
63,Dobson,US,36.3957,-80.7226,54.39,87,100,12.66,overcast clouds
64,Carauari,BR,-4.8828,-66.8958,74.41,97,100,2.55,overcast clouds
65,Kodiak,US,57.79,-152.4072,29.71,69,100,5.75,overcast clouds
66,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,40,11.5,scattered clouds
